,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60
19,3.102868389,11.58375979,0,0.715166762,0.324312269,11.58375979
20,4.35463653,83.26967215,12.85714286,2.139364792,1.113119901,52.11861475
11,7.294196309,140.8706477,18.46153846,4.537772508,4.802506043,52.77942772
18,9.282755502,176.8729171,20.68965517,0.943055232,1.218875235,61.84431064
14,9.761774775,25.26103139,10.71428571,3.077455399,5.723816257,25.26103139
7,10.05254483,198.9390485,16.66666667,4.032885226,3.386114663,66.60340949
0,11.26771009,251.5912861,19.18604651,10.49147701,6.671497223,71.94044263
15,11.48199135,56.76294202,0,8.303462731,8.31919665,47.41260332
8,13.48306003,114.7108052,8.181818182,2.632434869,3.106027096,55.29119437
13,15.79592899,229.2163527,18.75,13.74370738,11.95658424,63.24668553
9,17.02720734,139.65559,18.46153846,8.176197098,7.923259283,59.58922848
16,17.12448961,148.3861599,19.56521739,9.782407032,9.653786089,55.81747422
10,17.17590362,185.0041075,22.11538462,11.3732427,10.3437262,54.16151572
5,19.9023566,164.9155443,17.14285714,5.668568956,4.578518653,52.97148093
4,21.93278393,159.5501649,13.29113924,5.201894156,4.41315574,52.48187644
6,21.99421564,222.7291217,17.24137931,5.668568956,4.578518653,54.14536667
3,22.41224895,162.6227543,15,20.18088724,13.12762197,57.22064602
1,32.48963316,253.4617253,17.69436997,12.34236695,6.941780421,65.67020291
2,35.83765295,377.4970677,13.88888889,23.53901609,15.98480152,65.86249559
17,38.65980825,130.5552702,18.65671642,11.73077533,9.483878181,51.05034243
12,41.34777722,258.1788796,22.99270073,10.22773241,9.290631602,54.28968133
