,tailfreq_mean,tailamplitude_max,tailamplitude_mean,boutduration,tailasymmetry,tailvigour
0,4.23728813559,3.19023939466,0.393809141853,0.118,0.593220338983,40.8212440638
1,7.69230769231,4.89394265387,-0.348557461006,0.13,0.430769230769,67.1058256474
2,7.57575757576,3.31666867083,-0.365991961323,0.132,0.378787878788,59.4654169633
3,5.0,7.40274710848,3.40540444611,0.1,1.0,43.5303112048
4,8.33333333333,7.36443259782,2.12904531581,0.12,0.95,57.5647762201
5,4.31034482759,4.19082838277,1.7026661152,0.116,0.965517241379,37.1390253965
6,11.71875,6.92937079862,1.98641200588,0.128,0.875,63.2809007074
7,7.69230769231,3.30886683925,0.77191010235,0.13,0.723076923077,54.4995362492
8,19.2307692308,5.77263824941,0.95350479405,0.13,0.6,74.9558339714
9,12.2950819672,6.44890173012,3.25541718729,0.122,1.0,53.8591675843
10,15.873015873,6.0533065618,1.43623651646,0.126,0.698412698413,64.2169791703
11,9.375,3.32709909815,-0.0770379266377,0.16,0.4875,57.882307396
12,3.67647058824,3.97995094854,1.26439836979,0.136,0.838235294118,43.9732143949
13,8.62068965517,5.36796111789,1.61823614116,0.174,0.942528735632,61.4779827293
14,3.73134328358,5.95264348246,2.48221799112,0.134,0.955223880597,60.3312514754
15,14.9253731343,3.27255712942,0.508864179802,0.134,0.701492537313,53.6854731791
16,16.6666666667,7.49098063548,-1.81347890631,0.12,0.25,90.3091019563
17,12.0967741935,5.06436959772,0.0683452211908,0.124,0.58064516129,60.7433796951
18,0.0,3.6065435692,0.926566302186,0.102,0.823529411765,43.1148733951
19,12.5,7.32341154511,0.356356681439,0.12,0.433333333333,58.3241541924
20,11.5384615385,2.91153770607,-0.152410009657,0.13,0.353846153846,59.0827259499
21,3.6231884058,6.15238831179,-1.76021014236,0.138,0.0724637681159,63.3409444992
22,3.20512820513,5.79325498668,-0.0209327280656,0.156,0.397435897436,71.0552407799
23,12.2950819672,6.5619136099,3.15099725221,0.122,0.967213114754,77.9635025207
24,3.42465753425,7.0080186046,2.1816764074,0.146,0.794520547945,68.0330321008
25,3.0487804878,8.04428008501,2.18538618091,0.164,0.80487804878,60.9682673553
26,15.873015873,4.63729585619,-1.29944355882,0.126,0.190476190476,70.7961955133
27,15.873015873,13.3066857082,0.6468277614,0.126,0.539682539683,111.072734662
28,7.8125,8.19076464662,-3.10220994543,0.128,0.0,53.7635219091
29,12.3966942149,12.12269806,-2.7406705818,0.242,0.0495867768595,95.5539257341
30,0.0,3.18064398643,0.994046611679,0.154,0.818181818182,48.4657648696
31,21.1267605634,9.48277903155,0.638097937674,0.142,0.69014084507,132.786499405
32,10.1351351351,12.56945995,5.68485670672,0.148,1.0,80.3654770374
33,17.5438596491,6.61193498028,-0.786810698885,0.114,0.315789473684,70.1768726038
34,14.7058823529,9.60291698558,-3.24026206721,0.136,0.176470588235,94.4029781323
35,8.47457627119,5.60548097168,-1.14271984624,0.118,0.35593220339,55.4331954488
36,14.9253731343,12.2349328984,-5.74670762132,0.134,0.0,84.1974547561
37,14.4927536232,5.23863387279,1.52267627223,0.138,0.840579710145,67.6800982253
38,12.1951219512,6.1750936321,-2.08791208549,0.164,0.0121951219512,60.6114486558
39,9.25925925926,3.51823315365,0.776058572643,0.108,0.722222222222,57.2772125367
40,20.2702702703,10.054747991,5.43872854735,0.222,0.954954954955,100.338036319
41,18.115942029,5.38123447943,-0.758993068028,0.138,0.304347826087,83.9064178322
42,7.93650793651,4.59496572446,-0.843536181985,0.126,0.444444444444,62.5516005808
43,17.1232876712,8.93571746788,-3.74350447037,0.146,0.150684931507,112.93700635
44,15.3846153846,5.37381703739,0.682013968214,0.13,0.615384615385,72.8243403808
45,20.0,23.248838397,-7.70583476893,0.15,0.0,134.724638017
46,8.72093023256,4.59682173104,0.256088586995,0.172,0.523255813953,66.0653245208
47,0.0,5.8311574656,-2.05270168525,0.152,0.105263157895,66.3368576509
48,7.57575757576,12.068170966,-4.60154644569,0.132,0.0757575757576,77.3783892509
49,4.31034482759,3.2167823041,0.0341173874455,0.116,0.396551724138,41.9170597765
